method,seed,coverage,risk
offline_ahc,0,0.7084893882646691,0.17914831130690162
offline_ahc,0,0.7134831460674157,0.17964421114027412
offline_ahc,0,0.7184769038701623,0.17955401100492324
offline_ahc,0,0.7234706616729089,0.180903077365545
offline_ahc,0,0.7286724927174365,0.182181610508281
offline_ahc,0,0.7336662505201831,0.18264322178105502
offline_ahc,0,0.7386600083229297,0.1847887323943662
offline_ahc,0,0.7436537661256762,0.1846670397313934
offline_ahc,0,0.7486475239284228,0.18565869927737633
offline_ahc,0,0.7536412817311694,0.1871893981225842
offline_ahc,0,0.758843112775697,0.18700301617768028
offline_ahc,0,0.7638368705784436,0.1879596840098066
offline_ahc,0,0.7688306283811902,0.18863328822733424
offline_ahc,0,0.7738243861839368,0.1901048668997042
offline_ahc,0,0.7788181439866834,0.1907560780122896
