recording,method,latency_budget_ms,ablation,seed,der,miss,false_alarm,confusion,jer,der_no_overlap,der_collar250ms,overlap_miss_floor,n_speakers_true,n_speakers_pred,speaker_count_error,latency_median_ms,latency_p95_ms,latency_max_ms,latency_first_ms,n_decisions,turn_accuracy,duration_s,overlap_fraction,embed_s,cluster_s,total_s,rtf,extra_mean_query_size
test_001_1013,online,500.0,no_spawn,1,0.4761990623873062,0.0358817165524702,0.0320952037504507,0.4082221420843851,0.8966129032258064,0.4749240121580547,0.4219858156028369,0.0254237288135593,2.0,1.0,-1.0,500.0,500.0,500.0,500.0,221.0,0.5660377358490566,60.0,0.0260869565217391,0.0730976000195369,0.0481413999805226,0.1372205000079702,0.0022870083334661,2.8642533936651584
test_001_1014,online,500.0,no_spawn,1,0.4677143833276392,0.0702084045097369,0.0310898530919029,0.3664161257259993,0.8543354335433544,0.4632438739789965,0.4158940397350993,0.0608131192347113,2.0,1.0,-1.0,500.0,500.0,500.0,500.0,225.0,0.5748792270531401,60.0,0.064750818479447,0.0752268999931402,0.0406426000117789,0.1360729000007268,0.0022678816666787,2.848888888888889
test_001_1015,online,500.0,no_spawn,1,0.1336436170212765,0.0779587765957446,0.0254321808510638,0.030252659574468,0.1718268231919764,0.0708722741433021,0.0554034126816937,0.0731382978723404,2.0,2.0,0.0,500.0,500.0,500.0,500.0,228.0,0.9702970297029704,60.0,0.078909612625538,0.0598384999902918,0.0405995000037364,0.1147909999999683,0.0019131833333328,2.921052631578948
test_001_1016,online,500.0,no_spawn,1,0.2976963011031797,0.1132381570408825,0.0176833225178455,0.1667748215444516,0.6416333676154143,0.2252792718245759,0.2138324873096446,0.1078844905905256,3.0,2.0,-1.0,500.0,500.0,500.0,500.0,223.0,0.798941798941799,60.0,0.1209310783778868,0.0611442000081297,0.0407341999816708,0.1157340999925509,0.0019289016665425,2.8295964125560538
test_001_1017,online,500.0,no_spawn,1,0.6470096892749749,0.0751754092883394,0.0190444370197126,0.5527898429669228,1.1073608617594255,0.62402950310559,0.5753275109170306,0.0696625459405279,5.0,1.0,-4.0,500.0,500.0,500.0,500.0,226.0,0.400990099009901,60.0,0.0748787933201652,0.0628940000024158,0.0406149000045843,0.1177842000033706,0.0019630700000561,2.902654867256637
test_001_1018,online,500.0,no_spawn,1,0.7338163490313435,0.1015908017010552,0.015120491415971,0.6171050559143172,1.248522030117122,0.7159068675405987,0.6951884332780279,0.0974956686092298,5.0,1.0,-4.0,500.0,500.0,500.0,500.0,232.0,0.3089005235602094,60.0,0.1080279232111692,0.0576215000182855,0.042107199988095,0.1160869000013917,0.0019347816666898,2.875
test_001_1019,online,500.0,no_spawn,1,0.726381170317097,0.1015037593984962,0.0127492644655116,0.6121281464530892,1.2334836527621196,0.7135124298315958,0.6816279069767441,0.092350441320693,5.0,1.0,-4.0,500.0,500.0,500.0,500.0,223.0,0.3020833333333333,60.0,0.1017468035296236,0.0648680000158492,0.0397975000087171,0.1191706000245176,0.0019861766670752,2.874439461883408
test_001_1020,online,500.0,no_spawn,1,0.4773158530274279,0.0886665516646541,0.0331205796101431,0.3555287217526306,0.874930972918548,0.4431372549019607,0.3680856487382105,0.0821114369501466,5.0,2.0,-3.0,500.0,500.0,500.0,500.0,219.0,0.5968586387434555,60.0,0.0894568690095846,0.0597139000019524,0.0387081000080797,0.1123101999983191,0.0018718366666386,2.863013698630137
test_001_1021,online,500.0,no_spawn,1,0.4881138567406944,0.1207381920550516,0.0200187675946199,0.3473568970910228,0.8588336087330535,0.447742984953233,0.4307918504515858,0.1154207069127306,4.0,2.0,-2.0,500.0,500.0,500.0,500.0,230.0,0.5842105263157895,60.0,0.1304809052333805,0.056684299983317,0.0389680999796837,0.1104649999761022,0.001841083332935,2.930434782608696
test_001_1022,online,500.0,no_spawn,1,0.43511090136857,0.1000471920717319,0.0124272455560799,0.3226364637407582,0.7909880564603692,0.4199495439549777,0.4021584198737528,0.0946987572754444,2.0,1.0,-1.0,500.0,500.0,500.0,500.0,232.0,0.6020408163265306,60.0,0.1046046915725456,0.0606401000113692,0.0400079999817535,0.1147963999828789,0.0019132733330479,2.939655172413793
test_001_1023,online,500.0,no_spawn,1,0.4719213464422596,0.071154807532078,0.0168305282452924,0.3839360106648892,0.8686607956270878,0.4677264891783183,0.4362168396770473,0.0649891684719213,2.0,1.0,-1.0,500.0,500.0,500.0,500.0,227.0,0.5577889447236181,60.0,0.0695063268579575,0.0606409999891184,0.0384933000023011,0.1137380999862216,0.0018956349997703,2.9030837004405288
test_001_1000,online,500.0,no_momentum,1,0.381445106980007,0.0445457734128376,0.0310417397404419,0.3058575938267274,0.6927285446595878,0.370398773006135,0.3436095054592164,0.0426166257453525,2.0,2.0,0.0,500.0,500.0,500.0,500.0,225.0,0.6572769953051644,60.0,0.0445136471881296,0.0588146999944001,0.0391737000027205,0.1219940999872051,0.0020332349997867,2.897777777777778
test_001_1001,online,500.0,no_momentum,1,0.4009584664536741,0.0532481363152289,0.0383386581469648,0.3093716719914803,0.9396991045062736,0.3536537710042985,0.2955560780625441,0.0457933972310969,4.0,5.0,1.0,500.0,500.0,500.0,500.0,222.0,0.696078431372549,60.0,0.0479910714285714,0.0574108000146225,0.027320499997586,0.0926271000062115,0.0015437850001035,2.833333333333333
test_001_1002,online,500.0,no_momentum,1,0.4212239583333333,0.0812174479166666,0.01708984375,0.3229166666666667,0.4070874127485999,0.3358352578906851,0.2387387387387387,0.0771484375,2.0,5.0,3.0,500.0,500.0,500.0,500.0,230.0,0.7055837563451777,60.0,0.0835978835978836,0.0517765000113286,0.0313960000057704,0.0983317000209353,0.0016388616670155,2.8521739130434782
test_001_1003,online,500.0,no_momentum,1,0.3445957593518359,0.1063609722461644,0.0329253576969488,0.2053094294087226,0.549929969213669,0.3074951953875721,0.2384210526315789,0.0963626960868815,2.0,2.0,0.0,500.0,500.0,500.0,500.0,215.0,0.7417582417582418,60.0,0.1066386875238458,0.0404159999743569,0.0309105000051204,0.0852752999926451,0.0014212549998774,2.823255813953488
test_001_1004,online,500.0,no_momentum,1,0.4941443803530851,0.0499912602691837,0.0288411116937598,0.4153120083901416,0.8929635000798408,0.4511610055651506,0.4014298093587521,0.0445726271630833,4.0,6.0,2.0,500.0,500.0,500.0,500.0,224.0,0.5817307692307693,60.0,0.0466520307354555,0.0419408000016119,0.0455638999992515,0.1012836000008974,0.0016880600000149,2.821428571428572
