recording,method,latency_budget_ms,seed,budget_windows,der,miss,false_alarm,confusion,jer,der_no_overlap,der_collar250ms,overlap_miss_floor,n_speakers_true,n_speakers_pred,speaker_count_error,latency_median_ms,latency_p95_ms,latency_max_ms,latency_first_ms,n_decisions,turn_accuracy,duration_s,overlap_fraction,embed_s,cluster_s,total_s,rtf,extra_mean_query_size,extra_k_estimated
test_000_1019,online,125.0,0,0,0.4433396194068232,0.0560603463055031,0.0204011657809017,0.3668781073204183,0.8787633956216421,0.3974919247577427,0.3768813967489464,0.0488599348534201,4.0,3.0,-1.0,0.0,0.0,0.0,0.0,225.0,0.6333333333333333,60.0,0.0513698630136986,0.0612987999920733,0.043319699994754,0.1309399000019766,0.0021823316666996,1.0,
test_000_1020,online,125.0,0,0,0.4912663755458515,0.0935505542492442,0.0298958683238159,0.3678199529727914,0.8468468468468469,0.4682828282828283,0.38293162813576,0.0843130668458179,4.0,3.0,-1.0,0.0,0.0,0.0,0.0,223.0,0.581151832460733,60.0,0.0920763022743947,0.0618830999883357,0.0424695000110659,0.128252299997257,0.0021375383332876,1.0,
test_000_1021,online,125.0,0,0,0.2056634304207119,0.1111650485436893,0.0132686084142394,0.0812297734627831,0.2878232867083201,0.1223297057638049,0.0911011974641934,0.0985436893203883,5.0,5.0,0.0,0.0,0.0,0.0,0.0,223.0,0.9297297297297298,60.0,0.1093161012385568,0.0619675999914761,0.0448625999852083,0.1448423999827355,0.0024140399997122,1.0,
test_000_1022,online,125.0,0,0,0.6240562800274537,0.0427247769389155,0.0250514756348661,0.5562800274536719,0.9756687943890696,0.6279329608938548,0.5828981723237598,0.039293067947838,5.0,3.0,-2.0,0.0,0.0,0.0,0.0,229.0,0.3981042654028436,60.0,0.0409001607429898,0.1509132999926805,0.0486680000030901,0.2218842000002041,0.0036980700000034,1.0,
test_000_1023,online,125.0,0,0,0.3682213438735178,0.1141501976284585,0.0232411067193675,0.2308300395256917,0.6365949117618832,0.308178666122782,0.2464488636363636,0.1124110671936758,5.0,4.0,-1.0,0.0,0.0,0.0,0.0,230.0,0.7297297297297297,60.0,0.1266476665479159,0.4189308000204619,0.0562498999934177,0.4989900999935344,0.0083165016665589,1.0,
test_000_1000,online,250.0,0,1,0.1379020037043273,0.0756019531907728,0.0227310995117023,0.0395689510018521,0.1952839324569928,0.0808809198986552,0.0510471204188481,0.0680249200202054,3.0,3.0,0.0,250.0,250.0,250.0,250.0,225.0,0.964824120603015,60.0,0.0729900632339656,0.0976244999910704,0.0457198999938555,0.1685557999880984,0.0028092633331349,1.968888888888889,
test_000_1001,online,250.0,0,1,0.2118582791033984,0.064172089660159,0.0448300795372378,0.1028561099060014,0.2877076491794821,0.1651875756353368,0.0364184008762322,0.051879971077368,3.0,5.0,2.0,250.0,250.0,250.0,250.0,217.0,0.898989898989899,60.0,0.0547187797902764,0.3501912000065204,0.0770501999941188,0.4487675999989733,0.0074794599999828,1.9308755760368663,
test_000_1002,online,250.0,0,1,0.5806225953130465,0.0431969220006995,0.0269324938789786,0.5104931794333684,1.0765507744870668,0.5743522343221931,0.5166441745389114,0.0342777194823364,3.0,2.0,-1.0,250.0,250.0,250.0,250.0,225.0,0.4619047619047619,60.0,0.0354943860919956,0.1597715000098105,0.1497281999909319,0.3761745999800041,0.0062695766663334,1.9644444444444444,
test_000_1003,online,250.0,0,1,0.2711656441717791,0.0255915863277826,0.024715162138475,0.2208588957055214,0.4847351148503527,0.2561042775839912,0.211229388436652,0.0226117440841367,5.0,5.0,0.0,250.0,250.0,250.0,250.0,228.0,0.771689497716895,60.0,0.0231348637015781,0.1125481000053696,0.0530092999979388,0.1899760000233072,0.0031662666670551,1.9649122807017545,
test_000_1004,online,250.0,0,1,0.3136104060913706,0.1153236040609137,0.0115799492385786,0.1867068527918781,0.5851037071565288,0.235030549898167,0.2288717288717288,0.1105647208121827,4.0,4.0,0.0,250.0,250.0,250.0,250.0,226.0,0.7872340425531915,60.0,0.1243088995897984,0.0702963000221643,0.0563341999950353,0.1486398000270128,0.0024773300004502,1.9690265486725664,
test_000_1005,online,250.0,0,1,0.1691626957113682,0.0660313138189244,0.0233151803948264,0.0798162014976174,0.2425015999148509,0.1195112638411607,0.0640072120802344,0.05428863172226,5.0,6.0,1.0,250.0,250.0,250.0,250.0,225.0,0.9356435643564356,60.0,0.057405074680583,0.0657218999986071,0.0536006999900564,0.1444427999958861,0.0024073799999314,1.96,
test_000_1006,online,250.0,0,1,0.2133422504597893,0.0822604915565958,0.018558769436549,0.1125229894666443,0.3277322872170639,0.1533634045891351,0.0799432355723746,0.0737334893830463,5.0,6.0,1.0,250.0,250.0,250.0,250.0,224.0,0.8969072164948454,60.0,0.0796028880866425,0.0634443000017199,0.052802199992584,0.139603999996325,0.002326733333272,1.9598214285714288,
test_000_1007,online,250.0,0,1,0.3501458226110825,0.0718819694630296,0.0283067421513124,0.2499571109967404,0.5867392135619145,0.327746006704792,0.2800834685833526,0.0650197289414994,2.0,3.0,1.0,250.0,250.0,250.0,250.0,223.0,0.715,60.0,0.0695412844036697,0.0714331000053789,0.0579193000157829,0.1529784000304062,0.0025496400005067,1.9417040358744395,
test_000_1008,online,250.0,0,1,0.0882200311364815,0.0477426050856253,0.0164331430548348,0.0240442829960214,0.114214285627326,0.0521166509877704,0.0130548302872062,0.0403044455976474,2.0,2.0,0.0,250.0,250.0,250.0,250.0,224.0,0.9808612440191388,60.0,0.0419971160778658,0.0598256999801378,0.0534449000260792,0.1371458999929018,0.0022857649998816,1.9642857142857144,
test_000_1009,online,250.0,0,1,0.4197650088524062,0.0928697891517785,0.0143248028327699,0.3125704168678577,0.7647368352482499,0.3730821518741503,0.3351540310246886,0.0856269113149847,3.0,3.0,0.0,250.0,250.0,250.0,250.0,229.0,0.6580310880829016,60.0,0.0936454849498327,0.0818697999930009,0.0529662999906577,0.1586083999718539,0.0026434733328642,1.9781659388646289,
test_000_1010,online,250.0,0,1,0.1578119538622859,0.0527787486892694,0.018350227193289,0.0866829779797273,0.2380492704531349,0.1243335872048743,0.0664358363990478,0.0410695560992659,5.0,5.0,0.0,250.0,250.0,250.0,250.0,221.0,0.9082125603864736,60.0,0.0428285037361035,0.0622103000059723,0.0513530999887734,0.137140199978603,0.0022856699996433,1.95475113122172,
test_000_1011,online,250.0,0,1,0.2146756583172768,0.0855812459858702,0.0208734746307,0.1082209377007064,0.5973461824751288,0.1170130869899923,0.1304696908871939,0.0828516377649325,3.0,3.0,0.0,250.0,250.0,250.0,250.0,233.0,0.9019607843137256,60.0,0.0903361344537815,0.063917899999069,0.0531574999913573,0.1401880999910645,0.0023364683331844,1.9742489270386263,
test_000_1012,online,250.0,0,1,0.3233990524224362,0.1242549289316827,0.0221610881858474,0.176983035304906,0.4512655282767642,0.2670832493448901,0.2344265903587937,0.1208925569310713,2.0,3.0,1.0,250.0,250.0,250.0,250.0,235.0,0.7712765957446809,60.0,0.1375173852573018,0.0680373000213876,0.0501940999820362,0.1404953000019304,0.0023415883333655,1.987234042553192,
test_000_1013,online,250.0,0,1,0.1572566678212677,0.0481468652580533,0.0223415310010391,0.0867682715621752,0.4998096407776229,0.12,0.0642301038062283,0.0453758226532732,5.0,4.0,-1.0,250.0,250.0,250.0,250.0,225.0,0.908653846153846,60.0,0.047532656023222,0.0660340999893378,0.0554991000099107,0.1474798000126611,0.0024579966668776,1.96,
test_000_1014,online,250.0,0,1,0.259958736708459,0.0968100301539438,0.0172988414537375,0.1458498651007776,1.093332596280956,0.1517403206883066,0.1044332723948811,0.094588160609427,5.0,5.0,0.0,250.0,250.0,250.0,250.0,232.0,0.8963730569948186,60.0,0.1035933391761612,0.0677906000055372,0.0606992999964859,0.1516731999872718,0.0025278866664545,1.9655172413793105,
test_000_1015,online,250.0,0,1,0.1692986924775004,0.0485651214128035,0.0249617931737137,0.0957717778909831,0.1662125582210973,0.1189722584248743,0.0515420363329108,0.0439803022584479,3.0,7.0,4.0,250.0,250.0,250.0,250.0,230.0,0.9154929577464788,60.0,0.0460035523978685,0.0622638000058941,0.0535226000065449,0.1400120000180322,0.0023335333336338,1.9695652173913043,
test_000_1016,online,250.0,0,1,0.3416557161629435,0.0905059132720105,0.0226675427069645,0.2284822601839684,0.5376455009450638,0.2898664571877455,0.2524076147816349,0.0818002628120893,4.0,6.0,2.0,250.0,250.0,250.0,250.0,227.0,0.7487437185929648,60.0,0.089087656529517,0.0608731999818701,0.0490529999951832,0.1329165999777615,0.002215276666296,1.960352422907489,
test_000_1017,online,250.0,0,1,0.2502467917077986,0.0771635406383678,0.02319842053307,0.1498848305363606,0.2786797491177711,0.1926025297048677,0.1031411157993436,0.0707469562356038,4.0,7.0,3.0,250.0,250.0,250.0,250.0,230.0,0.865,60.0,0.0761331444759206,0.074854000005871,0.050778300006641,0.1489069999952335,0.0024817833332538,1.965217391304348,
test_000_1018,online,250.0,0,1,0.3070689655172414,0.0667241379310344,0.0236206896551724,0.2167241379310344,0.2952824723320947,0.2461719670200235,0.1115826260609086,0.0608620689655172,2.0,4.0,2.0,250.0,250.0,250.0,250.0,222.0,0.795,60.0,0.0648063154029741,0.0649478000123053,0.0484502000035718,0.1363381000119261,0.0022723016668654,1.954954954954955,
test_000_1019,online,250.0,0,1,0.4476255786044917,0.0560603463055031,0.0204011657809017,0.3711640665180867,0.8874216225295898,0.3974919247577427,0.3818984547461369,0.0488599348534201,4.0,3.0,-1.0,250.0,250.0,250.0,250.0,225.0,0.6333333333333333,60.0,0.0513698630136986,0.0574789000093005,0.0500456999870948,0.1305269000004045,0.00217544833334,1.96,
test_000_1020,online,250.0,0,1,0.4346657709103124,0.0935505542492442,0.0298958683238159,0.3112193483372523,0.7045404041018077,0.4008080808080808,0.3307919331037875,0.0843130668458179,4.0,3.0,-1.0,250.0,250.0,250.0,250.0,223.0,0.6492146596858639,60.0,0.0920763022743947,0.0575537999975495,0.0474725000094622,0.1275174000184051,0.0021252900003067,1.9506726457399104,
test_000_1021,online,250.0,0,1,0.1770226537216828,0.1111650485436893,0.0132686084142394,0.052588996763754,0.2267577084205914,0.0916968964127368,0.0702042733035924,0.0985436893203883,5.0,5.0,0.0,250.0,250.0,250.0,250.0,223.0,0.9567567567567568,60.0,0.1093161012385568,0.0602284999913536,0.0509245000139344,0.1363460999855306,0.0022724349997588,1.9641255605381165,
test_000_1022,online,250.0,0,1,0.6197666437886067,0.0427247769389155,0.0250514756348661,0.551990391214825,0.9694009030063268,0.6232774674115457,0.5794168842471714,0.039293067947838,5.0,3.0,-2.0,250.0,250.0,250.0,250.0,229.0,0.4028436018957346,60.0,0.0409001607429898,0.0621100999996997,0.0497353000100702,0.1371575999946799,0.0022859599999113,1.9694323144104804,
test_000_1023,online,250.0,0,1,0.3642687747035573,0.1141501976284585,0.0232411067193675,0.2268774703557312,0.6437446448279601,0.2955333469304507,0.25,0.1124110671936758,5.0,4.0,-1.0,250.0,250.0,250.0,250.0,230.0,0.7405405405405405,60.0,0.1266476665479159,0.0851625999785028,0.0574188000173307,0.1706941000011284,0.0028449016666854,1.9739130434782608,
test_000_1000,online,500.0,0,2,0.1458157939046977,0.0756019531907728,0.0227310995117023,0.0474827412022225,0.1742786344154374,0.0839992204248684,0.0582460732984293,0.0680249200202054,3.0,4.0,1.0,500.0,500.0,500.0,500.0,225.0,0.9547738693467336,60.0,0.0729900632339656,0.0990036000148393,0.0560908999759703,0.1782993999950122,0.0029716566665835,2.9066666666666667,
